;Minsupport Relativ;6%
;Minsupport Absolut;300.00
;Fiktive Transaktionen Anzahl;5000
Large itemset;;angenehmes Tempo;abs.Supp.;500.00;rel.Supp.;10.00%
Large itemset;;Anschauungsmaterial / Vorführungen;abs.Supp.;800.00;rel.Supp.;16.00%
Large itemset;;Anwendungs- / Praxisbeispiele;abs.Supp.;2820.00;rel.Supp.;56.40%
Large itemset;;Arbeitsmaterialien (Skript. Lehrbuch);abs.Supp.;1020.00;rel.Supp.;20.40%
Large itemset;;Diskussionen in Präsenzlehre;abs.Supp.;530.00;rel.Supp.;10.60%
Large itemset;;eigenes Interesse am Thema;abs.Supp.;330.00;rel.Supp.;6.60%
Large itemset;;Engagement des Dozenten;abs.Supp.;460.00;rel.Supp.;9.20%
Large itemset;;Erreichbarkeit des Dozenten;abs.Supp.;300.00;rel.Supp.;6.00%
Large itemset;;Fachkompetenz des Dozenten;abs.Supp.;350.00;rel.Supp.;7.00%
Large itemset;;Humor des Dozenten;abs.Supp.;360.00;rel.Supp.;7.20%
Large itemset;;Kommunikation mit Dozenten;abs.Supp.;1550.00;rel.Supp.;31.00%
Large itemset;;Lockerheit des Dozenten;abs.Supp.;660.00;rel.Supp.;13.20%
Large itemset;;logischer Aufbau der Lehrveranstaltung;abs.Supp.;310.00;rel.Supp.;6.20%
Large itemset;;Offenheit des Dozenten für Studierende;abs.Supp.;1060.00;rel.Supp.;21.20%
Large itemset;;Partizipation / Mitsprache der Studierenden;abs.Supp.;450.00;rel.Supp.;9.00%
Large itemset;;Prüfungsvorbereitung / -schwerpunkte;abs.Supp.;310.00;rel.Supp.;6.20%
Large itemset;;Selbststudium;abs.Supp.;1580.00;rel.Supp.;31.60%
Large itemset;;strukturiertes Skript;abs.Supp.;520.00;rel.Supp.;10.40%
Large itemset;;sympathisches Auftreten des Dozenten;abs.Supp.;700.00;rel.Supp.;14.00%
Large itemset;;Teilnahme am Praktikum;abs.Supp.;1070.00;rel.Supp.;21.40%
Large itemset;;Teilnahme am Tutorium;abs.Supp.;720.00;rel.Supp.;14.40%
Large itemset;;Teilnahme an Übung (Veranstaltungsform);abs.Supp.;400.00;rel.Supp.;8.00%
Large itemset;;Teilnahme an Vorlesung;abs.Supp.;330.00;rel.Supp.;6.60%
Large itemset;;Übungen in der Vorlesung;abs.Supp.;2400.00;rel.Supp.;48.00%
Large itemset;;verständliche Erklärungen;abs.Supp.;1550.00;rel.Supp.;31.00%
Large itemset;;Visualisierungen;abs.Supp.;1430.00;rel.Supp.;28.60%
Large itemset;;Zusammenfassungen und Wiederholungen;abs.Supp.;910.00;rel.Supp.;18.20%
Large itemset;;angenehmes Tempo;abs.Supp.;375.00. ;Anwendungs- / Praxisbeispiele;abs.Supp.;375.00;rel.Supp.;7.50%
Regel :aus: ;;Anwendungs- / Praxisbeispiele;folgt: ;;angenehmes Tempo;mit einer Confidence von;75.00%
Regel :aus: ;;angenehmes Tempo;folgt: ;;Anwendungs- / Praxisbeispiele;mit einer Confidence von;13.30%
Large itemset;;angenehmes Tempo;abs.Supp.;375.00. ;Übungen in der Vorlesung;abs.Supp.;375.00;rel.Supp.;7.50%
Regel :aus: ;;Übungen in der Vorlesung;folgt: ;;angenehmes Tempo;mit einer Confidence von;75.00%
Regel :aus: ;;angenehmes Tempo;folgt: ;;Übungen in der Vorlesung;mit einer Confidence von;15.62%
Large itemset;;Anschauungsmaterial / Vorführungen;abs.Supp.;325.00. ;Anwendungs- / Praxisbeispiele;abs.Supp.;325.00;rel.Supp.;6.50%
Regel :aus: ;;Anwendungs- / Praxisbeispiele;folgt: ;;Anschauungsmaterial / Vorführungen;mit einer Confidence von;40.62%
Regel :aus: ;;Anschauungsmaterial / Vorführungen;folgt: ;;Anwendungs- / Praxisbeispiele;mit einer Confidence von;11.52%
Large itemset;;Anschauungsmaterial / Vorführungen;abs.Supp.;450.00. ;Übungen in der Vorlesung;abs.Supp.;450.00;rel.Supp.;9.00%
Regel :aus: ;;Übungen in der Vorlesung;folgt: ;;Anschauungsmaterial / Vorführungen;mit einer Confidence von;56.25%
Regel :aus: ;;Anschauungsmaterial / Vorführungen;folgt: ;;Übungen in der Vorlesung;mit einer Confidence von;18.75%
Large itemset;;Anwendungs- / Praxisbeispiele;abs.Supp.;565.00. ;Arbeitsmaterialien (Skript. Lehrbuch);abs.Supp.;565.00;rel.Supp.;11.30%
Regel :aus: ;;Arbeitsmaterialien (Skript. Lehrbuch);folgt: ;;Anwendungs- / Praxisbeispiele;mit einer Confidence von;20.04%
Regel :aus: ;;Anwendungs- / Praxisbeispiele;folgt: ;;Arbeitsmaterialien (Skript. Lehrbuch);mit einer Confidence von;55.39%
Large itemset;;Anwendungs- / Praxisbeispiele;abs.Supp.;330.00. ;Diskussionen in Präsenzlehre;abs.Supp.;330.00;rel.Supp.;6.60%
Regel :aus: ;;Diskussionen in Präsenzlehre;folgt: ;;Anwendungs- / Praxisbeispiele;mit einer Confidence von;11.70%
Regel :aus: ;;Anwendungs- / Praxisbeispiele;folgt: ;;Diskussionen in Präsenzlehre;mit einer Confidence von;62.26%
Large itemset;;Anwendungs- / Praxisbeispiele;abs.Supp.;305.00. ;Engagement des Dozenten;abs.Supp.;305.00;rel.Supp.;6.10%
Regel :aus: ;;Engagement des Dozenten;folgt: ;;Anwendungs- / Praxisbeispiele;mit einer Confidence von;10.82%
Regel :aus: ;;Anwendungs- / Praxisbeispiele;folgt: ;;Engagement des Dozenten;mit einer Confidence von;66.30%
Large itemset;;Anwendungs- / Praxisbeispiele;abs.Supp.;1105.00. ;Kommunikation mit Dozenten;abs.Supp.;1105.00;rel.Supp.;22.10%
Regel :aus: ;;Kommunikation mit Dozenten;folgt: ;;Anwendungs- / Praxisbeispiele;mit einer Confidence von;39.18%
